age_0,adviser_0,rate
20,1,0.26
20,2,0.264
20,3,0.268
21,1,0.269
21,2,0.274
21,3,0.277
22,1,0.279
22,2,0.283
22,3,0.286
23,1,0.289
23,2,0.292
23,3,0.295
24,1,0.3
24,2,0.302
24,3,0.305
25,1,0.312
25,2,0.311
25,3,0.314
26,1,0.326
26,2,0.321
26,3,0.324
27,1,0.339
27,2,0.33
27,3,0.332
28,1,0.351
28,2,0.34
28,3,0.34
29,1,0.364
29,2,0.36
29,3,0.35
30,1,0.381
30,2,0.381
30,3,0.362
31,1,0.399
31,2,0.404
31,3,0.374
32,1,0.408
32,2,0.417
32,3,0.38
33,1,0.416
33,2,0.423
33,3,0.386
34,1,0.423
34,2,0.427
34,3,0.393
35,1,0.43
35,2,0.43
35,3,0.398
36,1,0.436
36,2,0.433
36,3,0.403
37,1,0.441
37,2,0.436
37,3,0.408
38,1,0.446
38,2,0.441
38,3,0.415
39,1,0.451
39,2,0.446
39,3,0.423
40,1,0.457
40,2,0.45
40,3,0.446
41,1,0.469
41,2,0.453
41,3,0.519
42,1,0.48
42,2,0.456
42,3,0.607
43,1,0.488
43,2,0.458
43,3,0.689
44,1,0.491
44,2,0.461
44,3,0.761
45,1,0.494
45,2,0.463
45,3,0.82
46,1,0.5
46,2,0.467
46,3,0.867
47,1,0.508
47,2,0.471
47,3,0.903
48,1,0.517
48,2,0.481
48,3,0.931
49,1,0.528
49,2,0.503
49,3,0.95
50,1,0.539
50,2,0.526
50,3,0.965
51,1,0.55
51,2,0.551
51,3,0.971
52,1,0.559
52,2,0.565
52,3,0.976
53,1,0.568
53,2,0.58
53,3,0.98
54,1,0.577
54,2,0.594
54,3,0.983
55,1,0.586
55,2,0.607
55,3,0.986
56,1,0.596
56,2,0.621
56,3,0.988
57,1,0.613
57,2,0.634
57,3,0.989
58,1,0.63
58,2,0.648
58,3,0.991
59,1,0.647
59,2,0.662
59,3,0.992
60,1,0.666
60,2,0.677
60,3,0.993
61,1,0.691
61,2,0.699
61,3,0.994
62,1,0.714
62,2,0.72
62,3,0.994
63,1,0.735
63,2,0.74
63,3,0.995
64,1,0.756
64,2,0.759
64,3,0.995
65,1,0.776
65,2,0.778
65,3,0.996
