number,age,adviser,fum_s,dur_s
1,20,Adviser One,200000,5
2,20,Adviser One,200000,5
3,20,Adviser One,200000,5
4,20,Adviser One,200000,5
5,20,Adviser One,200000,5
6,20,Adviser One,200000,5
7,20,Adviser One,200000,5
8,20,Adviser One,200000,5
9,20,Adviser One,200000,5
10,20,Adviser One,200000,5
11,20,Adviser Two,200000,5
12,20,Adviser Two,200000,5
13,20,Adviser Two,200000,5
14,20,Adviser Two,200000,5
15,20,Adviser Two,200000,5
16,20,Adviser Two,200000,5
17,20,Adviser Two,200000,5
18,20,Adviser Two,200000,5
19,20,Adviser Two,200000,5
20,20,Adviser Two,200000,5
21,20,Adviser Three,200000,5
22,20,Adviser Three,200000,5
23,20,Adviser Three,200000,5
24,20,Adviser Three,200000,5
25,20,Adviser Three,200000,5
26,20,Adviser Three,200000,5
27,20,Adviser Three,200000,5
28,20,Adviser Three,200000,5
29,20,Adviser Three,200000,5
30,20,Adviser Three,200000,5
31,21,Adviser One,210000,5
32,21,Adviser One,210000,5
33,21,Adviser One,210000,5
34,21,Adviser One,210000,5
35,21,Adviser One,210000,5
36,21,Adviser One,210000,5
37,21,Adviser One,210000,5
38,21,Adviser One,210000,5
39,21,Adviser One,210000,5
40,21,Adviser One,210000,5
41,21,Adviser Two,210000,5
42,21,Adviser Two,210000,5
43,21,Adviser Two,210000,5
44,21,Adviser Two,210000,5
45,21,Adviser Two,210000,5
46,21,Adviser Two,210000,5
47,21,Adviser Two,210000,5
48,21,Adviser Two,210000,5
49,21,Adviser Two,210000,5
50,21,Adviser Two,210000,5
51,21,Adviser Three,210000,5
52,21,Adviser Three,210000,5
53,21,Adviser Three,210000,5
54,21,Adviser Three,210000,5
55,21,Adviser Three,210000,5
56,21,Adviser Three,210000,5
57,21,Adviser Three,210000,5
58,21,Adviser Three,210000,5
59,21,Adviser Three,210000,5
60,21,Adviser Three,210000,5
61,22,Adviser One,220000,5
62,22,Adviser One,220000,5
63,22,Adviser One,220000,5
64,22,Adviser One,220000,5
65,22,Adviser One,220000,5
66,22,Adviser One,220000,5
67,22,Adviser One,220000,5
68,22,Adviser One,220000,5
69,22,Adviser One,220000,5
70,22,Adviser One,220000,5
71,22,Adviser Two,220000,5
72,22,Adviser Two,220000,5
73,22,Adviser Two,220000,5
74,22,Adviser Two,220000,5
75,22,Adviser Two,220000,5
76,22,Adviser Two,220000,5
77,22,Adviser Two,220000,5
78,22,Adviser Two,220000,5
79,22,Adviser Two,220000,5
80,22,Adviser Two,220000,5
81,22,Adviser Three,220000,5
82,22,Adviser Three,220000,5
83,22,Adviser Three,220000,5
84,22,Adviser Three,220000,5
85,22,Adviser Three,220000,5
86,22,Adviser Three,220000,5
87,22,Adviser Three,220000,5
88,22,Adviser Three,220000,5
89,22,Adviser Three,220000,5
90,22,Adviser Three,220000,5
91,23,Adviser One,230000,5
92,23,Adviser One,230000,5
93,23,Adviser One,230000,5
94,23,Adviser One,230000,5
95,23,Adviser One,230000,5
96,23,Adviser One,230000,5
97,23,Adviser One,230000,5
98,23,Adviser One,230000,5
99,23,Adviser One,230000,5
100,23,Adviser One,230000,5
101,23,Adviser Two,230000,5
102,23,Adviser Two,230000,5
103,23,Adviser Two,230000,5
104,23,Adviser Two,230000,5
105,23,Adviser Two,230000,5
106,23,Adviser Two,230000,5
107,23,Adviser Two,230000,5
108,23,Adviser Two,230000,5
109,23,Adviser Two,230000,5
110,23,Adviser Two,230000,5
111,23,Adviser Three,230000,5
112,23,Adviser Three,230000,5
113,23,Adviser Three,230000,5
114,23,Adviser Three,230000,5
115,23,Adviser Three,230000,5
116,23,Adviser Three,230000,5
117,23,Adviser Three,230000,5
118,23,Adviser Three,230000,5
119,23,Adviser Three,230000,5
120,23,Adviser Three,230000,5
121,24,Adviser One,240000,5
122,24,Adviser One,240000,5
123,24,Adviser One,240000,5
124,24,Adviser One,240000,5
125,24,Adviser One,240000,5
126,24,Adviser One,240000,5
127,24,Adviser One,240000,5
128,24,Adviser One,240000,5
129,24,Adviser One,240000,5
130,24,Adviser One,240000,5
131,24,Adviser Two,240000,5
132,24,Adviser Two,240000,5
133,24,Adviser Two,240000,5
134,24,Adviser Two,240000,5
135,24,Adviser Two,240000,5
136,24,Adviser Two,240000,5
137,24,Adviser Two,240000,5
138,24,Adviser Two,240000,5
139,24,Adviser Two,240000,5
140,24,Adviser Two,240000,5
141,24,Adviser Three,240000,5
142,24,Adviser Three,240000,5
143,24,Adviser Three,240000,5
144,24,Adviser Three,240000,5
145,24,Adviser Three,240000,5
146,24,Adviser Three,240000,5
147,24,Adviser Three,240000,5
148,24,Adviser Three,240000,5
149,24,Adviser Three,240000,5
150,24,Adviser Three,240000,5
151,25,Adviser One,250000,5
152,25,Adviser One,250000,5
153,25,Adviser One,250000,5
154,25,Adviser One,250000,5
155,25,Adviser One,250000,5
156,25,Adviser One,250000,5
157,25,Adviser One,250000,5
158,25,Adviser One,250000,5
159,25,Adviser One,250000,5
160,25,Adviser One,250000,5
161,25,Adviser Two,250000,5
162,25,Adviser Two,250000,5
163,25,Adviser Two,250000,5
164,25,Adviser Two,250000,5
165,25,Adviser Two,250000,5
166,25,Adviser Two,250000,5
167,25,Adviser Two,250000,5
168,25,Adviser Two,250000,5
169,25,Adviser Two,250000,5
170,25,Adviser Two,250000,5
171,25,Adviser Three,250000,5
172,25,Adviser Three,250000,5
173,25,Adviser Three,250000,5
174,25,Adviser Three,250000,5
175,25,Adviser Three,250000,5
176,25,Adviser Three,250000,5
177,25,Adviser Three,250000,5
178,25,Adviser Three,250000,5
179,25,Adviser Three,250000,5
180,25,Adviser Three,250000,5
181,26,Adviser One,260000,5
182,26,Adviser One,260000,5
183,26,Adviser One,260000,5
184,26,Adviser One,260000,5
185,26,Adviser One,260000,5
186,26,Adviser One,260000,5
187,26,Adviser One,260000,5
188,26,Adviser One,260000,5
189,26,Adviser One,260000,5
190,26,Adviser One,260000,5
191,26,Adviser Two,260000,5
192,26,Adviser Two,260000,5
193,26,Adviser Two,260000,5
194,26,Adviser Two,260000,5
195,26,Adviser Two,260000,5
196,26,Adviser Two,260000,5
197,26,Adviser Two,260000,5
198,26,Adviser Two,260000,5
199,26,Adviser Two,260000,5
200,26,Adviser Two,260000,5
201,26,Adviser Three,260000,5
202,26,Adviser Three,260000,5
203,26,Adviser Three,260000,5
204,26,Adviser Three,260000,5
205,26,Adviser Three,260000,5
206,26,Adviser Three,260000,5
207,26,Adviser Three,260000,5
208,26,Adviser Three,260000,5
209,26,Adviser Three,260000,5
210,26,Adviser Three,260000,5
211,27,Adviser One,270000,5
212,27,Adviser One,270000,5
213,27,Adviser One,270000,5
214,27,Adviser One,270000,5
215,27,Adviser One,270000,5
216,27,Adviser One,270000,5
217,27,Adviser One,270000,5
218,27,Adviser One,270000,5
219,27,Adviser One,270000,5
220,27,Adviser One,270000,5
221,27,Adviser Two,270000,5
222,27,Adviser Two,270000,5
223,27,Adviser Two,270000,5
224,27,Adviser Two,270000,5
225,27,Adviser Two,270000,5
226,27,Adviser Two,270000,5
227,27,Adviser Two,270000,5
228,27,Adviser Two,270000,5
229,27,Adviser Two,270000,5
230,27,Adviser Two,270000,5
231,27,Adviser Three,270000,5
232,27,Adviser Three,270000,5
233,27,Adviser Three,270000,5
234,27,Adviser Three,270000,5
235,27,Adviser Three,270000,5
236,27,Adviser Three,270000,5
237,27,Adviser Three,270000,5
238,27,Adviser Three,270000,5
239,27,Adviser Three,270000,5
240,27,Adviser Three,270000,5
241,28,Adviser One,280000,5
242,28,Adviser One,280000,5
243,28,Adviser One,280000,5
244,28,Adviser One,280000,5
245,28,Adviser One,280000,5
246,28,Adviser One,280000,5
247,28,Adviser One,280000,5
248,28,Adviser One,280000,5
249,28,Adviser One,280000,5
250,28,Adviser One,280000,5
251,28,Adviser Two,280000,5
252,28,Adviser Two,280000,5
253,28,Adviser Two,280000,5
254,28,Adviser Two,280000,5
255,28,Adviser Two,280000,5
256,28,Adviser Two,280000,5
257,28,Adviser Two,280000,5
258,28,Adviser Two,280000,5
259,28,Adviser Two,280000,5
260,28,Adviser Two,280000,5
261,28,Adviser Three,280000,5
262,28,Adviser Three,280000,5
263,28,Adviser Three,280000,5
264,28,Adviser Three,280000,5
265,28,Adviser Three,280000,5
266,28,Adviser Three,280000,5
267,28,Adviser Three,280000,5
268,28,Adviser Three,280000,5
269,28,Adviser Three,280000,5
270,28,Adviser Three,280000,5
271,29,Adviser One,290000,5
272,29,Adviser One,290000,5
273,29,Adviser One,290000,5
274,29,Adviser One,290000,5
275,29,Adviser One,290000,5
276,29,Adviser One,290000,5
277,29,Adviser One,290000,5
278,29,Adviser One,290000,5
279,29,Adviser One,290000,5
280,29,Adviser One,290000,5
281,29,Adviser Two,290000,5
282,29,Adviser Two,290000,5
283,29,Adviser Two,290000,5
284,29,Adviser Two,290000,5
285,29,Adviser Two,290000,5
286,29,Adviser Two,290000,5
287,29,Adviser Two,290000,5
288,29,Adviser Two,290000,5
289,29,Adviser Two,290000,5
290,29,Adviser Two,290000,5
291,29,Adviser Three,290000,5
292,29,Adviser Three,290000,5
293,29,Adviser Three,290000,5
