number,age,adviser,fum_s,dur_s
1,20,Adviser One,203979.6,5
3,20,Adviser One,203979.6,5
5,20,Adviser One,203979.6,5
6,20,Adviser One,203979.6,5
7,20,Adviser One,203979.6,5
8,20,Adviser One,203979.6,5
9,20,Adviser One,203979.6,5
10,20,Adviser One,203979.6,5
11,20,Adviser Two,203979.6,5
12,20,Adviser Two,203979.6,5
13,20,Adviser Two,203979.6,5
14,20,Adviser Two,203979.6,5
15,20,Adviser Two,203979.6,5
16,20,Adviser Two,203979.6,5
17,20,Adviser Two,203979.6,5
18,20,Adviser Two,203979.6,5
19,20,Adviser Two,203979.6,5
20,20,Adviser Two,203979.6,5
21,20,Adviser Three,203979.6,5
22,20,Adviser Three,203979.6,5
23,20,Adviser Three,203979.6,5
24,20,Adviser Three,203979.6,5
25,20,Adviser Three,203979.6,5
26,20,Adviser Three,203979.6,5
27,20,Adviser Three,203979.6,5
28,20,Adviser Three,203979.6,5
30,20,Adviser Three,203979.6,5
31,21,Adviser One,214178.58,5
32,21,Adviser One,214178.58,5
33,21,Adviser One,214178.58,5
34,21,Adviser One,214178.58,5
35,21,Adviser One,214178.58,5
36,21,Adviser One,214178.58,5
37,21,Adviser One,214178.58,5
38,21,Adviser One,214178.58,5
39,21,Adviser One,214178.58,5
40,21,Adviser One,214178.58,5
41,21,Adviser Two,214178.58,5
42,21,Adviser Two,214178.58,5
43,21,Adviser Two,214178.58,5
44,21,Adviser Two,214178.58,5
45,21,Adviser Two,214178.58,5
46,21,Adviser Two,214178.58,5
47,21,Adviser Two,214178.58,5
48,21,Adviser Two,214178.58,5
49,21,Adviser Two,214178.58,5
50,21,Adviser Two,214178.58,5
51,21,Adviser Three,214178.58,5
52,21,Adviser Three,214178.58,5
53,21,Adviser Three,214178.58,5
54,21,Adviser Three,214178.58,5
55,21,Adviser Three,214178.58,5
56,21,Adviser Three,214178.58,5
57,21,Adviser Three,214178.58,5
58,21,Adviser Three,214178.58,5
59,21,Adviser Three,214178.58,5
60,21,Adviser Three,214178.58,5
61,22,Adviser One,224377.56,5
62,22,Adviser One,224377.56,5
63,22,Adviser One,224377.56,5
64,22,Adviser One,224377.56,5
65,22,Adviser One,224377.56,5
66,22,Adviser One,224377.56,5
67,22,Adviser One,224377.56,5
69,22,Adviser One,224377.56,5
70,22,Adviser One,224377.56,5
71,22,Adviser Two,224377.56,5
72,22,Adviser Two,224377.56,5
73,22,Adviser Two,224377.56,5
74,22,Adviser Two,224377.56,5
75,22,Adviser Two,224377.56,5
76,22,Adviser Two,224377.56,5
77,22,Adviser Two,224377.56,5
78,22,Adviser Two,224377.56,5
79,22,Adviser Two,224377.56,5
80,22,Adviser Two,224377.56,5
81,22,Adviser Three,224377.56,5
82,22,Adviser Three,224377.56,5
83,22,Adviser Three,224377.56,5
84,22,Adviser Three,224377.56,5
85,22,Adviser Three,224377.56,5
86,22,Adviser Three,224377.56,5
87,22,Adviser Three,224377.56,5
88,22,Adviser Three,224377.56,5
89,22,Adviser Three,224377.56,5
90,22,Adviser Three,224377.56,5
91,23,Adviser One,234576.54,5
92,23,Adviser One,234576.54,5
93,23,Adviser One,234576.54,5
94,23,Adviser One,234576.54,5
95,23,Adviser One,234576.54,5
96,23,Adviser One,234576.54,5
97,23,Adviser One,234576.54,5
98,23,Adviser One,234576.54,5
99,23,Adviser One,234576.54,5
100,23,Adviser One,234576.54,5
101,23,Adviser Two,234576.54,5
102,23,Adviser Two,234576.54,5
103,23,Adviser Two,234576.54,5
104,23,Adviser Two,234576.54,5
105,23,Adviser Two,234576.54,5
106,23,Adviser Two,234576.54,5
107,23,Adviser Two,234576.54,5
108,23,Adviser Two,234576.54,5
110,23,Adviser Two,234576.54,5
111,23,Adviser Three,234576.54,5
112,23,Adviser Three,234576.54,5
113,23,Adviser Three,234576.54,5
