number,age,adviser,fum_s,dur_s
1,21,1,11000,6
2,21,1,11000,6
3,21,1,11000,6
4,21,1,11000,6
5,21,1,11000,6
6,21,1,11000,6
7,21,1,11000,6
8,21,1,11000,6
11,21,2,11000,6
12,21,2,11000,6
13,21,2,11000,6
14,21,2,11000,6
15,21,2,11000,6
16,21,2,11000,6
17,21,2,11000,6
18,21,2,11000,6
21,21,3,11000,6
22,21,3,11000,6
23,21,3,11000,6
24,21,3,11000,6
25,21,3,11000,6
26,21,3,11000,6
27,21,3,11000,6
28,21,3,11000,6
31,31,1,11000,6
32,31,1,11000,6
33,31,1,11000,6
34,31,1,11000,6
35,31,1,11000,6
36,31,1,11000,6
37,31,1,11000,6
41,31,2,11000,6
42,31,2,11000,6
43,31,2,11000,6
44,31,2,11000,6
45,31,2,11000,6
46,31,2,11000,6
47,31,2,11000,6
51,31,3,11000,6
52,31,3,11000,6
53,31,3,11000,6
54,31,3,11000,6
55,31,3,11000,6
56,31,3,11000,6
57,31,3,11000,6
61,41,1,11000,6
62,41,1,11000,6
63,41,1,11000,6
64,41,1,11000,6
65,41,1,11000,6
66,41,1,11000,6
71,41,2,11000,6
72,41,2,11000,6
73,41,2,11000,6
74,41,2,11000,6
75,41,2,11000,6
76,41,2,11000,6
81,41,3,11000,6
82,41,3,11000,6
83,41,3,11000,6
84,41,3,11000,6
85,41,3,11000,6
86,41,3,11000,6
91,51,1,11000,6
92,51,1,11000,6
93,51,1,11000,6
94,51,1,11000,6
95,51,1,11000,6
101,51,2,11000,6
102,51,2,11000,6
103,51,2,11000,6
104,51,2,11000,6
105,51,2,11000,6
121,61,1,11000,6
122,61,1,11000,6
123,61,1,11000,6
124,61,1,11000,6
131,61,2,11000,6
132,61,2,11000,6
133,61,2,11000,6
134,61,2,11000,6
151,21,1,11000,0
152,21,2,11000,0
153,21,3,11000,0
154,31,1,11000,0
155,31,2,11000,0
156,31,3,11000,0
